"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","10","2479"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","11","2479"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","10","2479"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","8","2479"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","8","2479"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","7","2479"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","6","2479"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","5","2479"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","26","2479"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","491"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","491"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","13","491"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","14","491"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","491"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","491"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","491"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","491"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","491"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","491"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","18","491"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","3","2454"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","6","2454"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","9","2454"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","11","2454"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","11","2454"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","11","2454"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","9","2454"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","7","2454"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","5","2454"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","4","2454"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","25","2454"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","2","1047"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","4","1047"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","8","1047"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","8","1047"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","9","1047"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","10","1047"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","8","1047"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","7","1047"
