"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","20","915"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","6","915"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","6","915"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","1","915"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","10","915"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","2","915"
"Income Support by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","7","915"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","~","915"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","5","915"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","26","915"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","49","915"
"Pension Credit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","4","915"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","0","915"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","0","915"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","~","915"
"State Pension by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","7","915"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","~","915"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","17","915"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","62","76,709"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","63","76,709"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","15","76,709"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","~","76,709"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","3","76,709"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","1","76,709"
"Child Benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","22","76,709"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","14","76,709"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","16","76,709"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","7","76,709"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","6","76,709"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","1","76,709"
"Housing Benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","13","76,709"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","3","76,709"
"Income Support by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","4","76,709"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","1","76,709"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","4","76,709"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","20","76,709"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","58","76,709"
"Pension Credit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","6","76,709"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","0","76,709"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","0","76,709"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","~","76,709"
"State Pension by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","27","76,709"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","~","76,709"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","6","76,709"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","63","73,459"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","64","73,459"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","15","73,459"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","~","73,459"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","3","73,459"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","1","73,459"
"Child Benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","22","73,459"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","14","73,459"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","16","73,459"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","7","73,459"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","7","73,459"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","1","73,459"
"Housing Benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","13","73,459"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","3","73,459"
"Income Support by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","4","73,459"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","1","73,459"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","4","73,459"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","20","73,459"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","59","73,459"
"Pension Credit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","6","73,459"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","0","73,459"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","0","73,459"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","~","73,459"
"State Pension by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","28","73,459"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","~","73,459"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","6","73,459"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","46","3,250"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","48","3,250"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","15","3,250"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","~","3,250"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","2","3,250"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","1","3,250"
"Child Benefit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","22","3,250"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","13","3,250"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","13","3,250"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","4","3,250"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","3","3,250"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","1","3,250"
"Housing Benefit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","12","3,250"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","1","3,250"
"Income Support by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","3","3,250"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","~","3,250"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","2","3,250"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","17","3,250"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","42","3,250"
"Pension Credit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","4","3,250"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","0","3,250"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","0","3,250"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","~","3,250"
"State Pension by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","14","3,250"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","~","3,250"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","White non-British","ONS 5+2","K02000001","8","3,250"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","60","77,803"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","61","77,803"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","14","77,803"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","~","77,803"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","3","77,803"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","1","77,803"
"Child Benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","22","77,803"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","13","77,803"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","16","77,803"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","7","77,803"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","7","77,803"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","1","77,803"
"Housing Benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","13","77,803"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","3","77,803"
"Income Support by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","4","77,803"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","1","77,803"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","4","77,803"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","21","77,803"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","56","77,803"
"Pension Credit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","5","77,803"
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","0","77,803"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","0","77,803"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","~","77,803"
"State Pension by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","25","77,803"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","~","77,803"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","All","ONS 5+2","K02000001","6","77,803"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","50","505"
