"Measure","Time","Time_type","Ethnicity ","Ethnicity_type","Value","Value_type","Denominator"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","25","%","310"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","17","%","310"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","4","%","310"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","8","%","310"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","%","310"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","4","%","310"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","2","%","310"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","7","%","310"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","%","310"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","-","%","310"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","5","%","310"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","0","%","310"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","0","%","310"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","%","310"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","-","%","310"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","0","%","310"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","%","310"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","%","310"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","0","%","310"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","0","%","310"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","0","%","310"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","0","%","310"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","48","%","534"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","48","%","534"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","20","%","534"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","21","%","534"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","41","%","534"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","28","%","534"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","10","%","534"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","19","%","534"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","4","%","534"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","15","%","534"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","4","%","534"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","17","%","534"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","3","%","534"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","-","%","534"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","7","%","534"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","-","%","534"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","2","%","534"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","0","%","534"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","1","%","534"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","1","%","534"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","2","%","534"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","2","%","534"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","0","%","534"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","0","%","534"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","0","%","534"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","0","%","534"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","58","%","1,761"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","58","%","1,761"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","23","%","1,761"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","31","%","1,761"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","49","%","1,761"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","33","%","1,761"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,761"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","22","%","1,761"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,761"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","23","%","1,761"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,761"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","24","%","1,761"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,761"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,761"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","%","1,761"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,761"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","%","1,761"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,761"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,761"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,761"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,761"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,761"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,761"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,761"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,761"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,761"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","55","%","734"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","54","%","734"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","18","%","734"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","23","%","734"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","45","%","734"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","27","%","734"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","8","%","734"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","17","%","734"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","%","734"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","17","%","734"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","2","%","734"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","18","%","734"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","%","734"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","1","%","734"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","12","%","734"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","-","%","734"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","2","%","734"
