"Table 3: Employment by occupation and ethnicity","","","","","","","","","","",""
"United Kingdom 2004 - 2018","","","","","","","","","","",""
"","","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","Notes"
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","4 Administrative and Secretarial","SOC 2010","13","%","24234300","3104600","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","5 Skilled Trades Occupations","SOC 2010","12","%","24234300","2808000","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","6 Personal Service Occupations","SOC 2010","8","%","24234300","1902400","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","7 Sales and Customer Service Occupations","SOC 2010","8","%","24234300","1844300","0.62",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","8 Process, Plant and Machine Operatives","SOC 2010","8","%","24234300","1824200","0.61",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","9 Elementary Occupations","SOC 2010","11","%","24234300","2696000","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","1 Managers and Senior Officials","SOC 2010","15","%","1414000","216100","2.72",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","2 Professional occupations","SOC 2010","16","%","1414000","231500","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","3 Associate Professional and Technical","SOC 2010","16","%","1414000","219900","2.74",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","4 Administrative and Secretarial","SOC 2010","10","%","1414000","143600","2.71",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","5 Skilled Trades Occupations","SOC 2010","10","%","1414000","145000","2.73",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","6 Personal Service Occupations","SOC 2010","7","%","1414000","98800","2.72",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","7 Sales and Customer Service Occupations","SOC 2010","6","%","1414000","82200","2.76",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","8 Process, Plant and Machine Operatives","SOC 2010","6","%","1414000","90900","2.67",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White Other","9 Elementary Occupations","SOC 2010","13","%","1414000","186000","2.69",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","1 Managers and Senior Officials","SOC 2010","15","%","28110100","4210600","0.45",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","2 Professional occupations","SOC 2010","13","%","28110100","3666800","0.46",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","3 Associate Professional and Technical","SOC 2010","14","%","28110100","4046800","0.45",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","4 Administrative and Secretarial","SOC 2010","12","%","28110100","3398700","0.45",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","5 Skilled Trades Occupations","SOC 2010","11","%","28110100","3089400","0.46",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","6 Personal Service Occupations","SOC 2010","8","%","28110100","2253800","0.45",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","7 Sales and Customer Service Occupations","SOC 2010","8","%","28110100","2160600","0.46",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","8 Process, Plant and Machine Operatives","SOC 2010","7","%","28110100","2058700","0.45",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","All","9 Elementary Occupations","SOC 2010","12","%","28110100","3224700","0.45",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","1 Managers and Senior Officials","SOC 2010","16","%","1233700","190700","3.86",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","2 Professional occupations","SOC 2010","17","%","1233700","208200","3.82",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","3 Associate Professional and Technical","SOC 2010","13","%","1233700","156300","4.03",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","4 Administrative and Secretarial","SOC 2010","10","%","1233700","128500","4.04",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","5 Skilled Trades Occupations","SOC 2010","6","%","1233700","78300","4.09",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","6 Personal Service Occupations","SOC 2010","6","%","1233700","68200","3.94",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","7 Sales and Customer Service Occupations","SOC 2010","11","%","1233700","139200","4.04",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","8 Process, Plant and Machine Operatives","SOC 2010","9","%","1233700","115000","3.77",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Asian","9 Elementary Occupations","SOC 2010","12","%","1233700","149300","3.93",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","1 Managers and Senior Officials","SOC 2010","8","%","580800","47700","6.2",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","2 Professional occupations","SOC 2010","11","%","580800","65900","6.09",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","3 Associate Professional and Technical","SOC 2010","18","%","580800","101800","5.83",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","4 Administrative and Secretarial","SOC 2010","13","%","580800","74500","6.32",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","5 Skilled Trades Occupations","SOC 2010","7","%","580800","39000","6.53",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","6 Personal Service Occupations","SOC 2010","15","%","580800","86700","5.8",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","7 Sales and Customer Service Occupations","SOC 2010","9","%","580800","52500","6.42",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","8 Process, Plant and Machine Operatives","SOC 2010","6","%","580800","33300","6.09",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Black","9 Elementary Occupations","SOC 2010","14","%","580800","79500","6.04",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","1 Managers and Senior Officials","SOC 2010","16","%","594500","95700","5.53",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","2 Professional occupations","SOC 2010","20","%","594500","119400","5.37",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","3 Associate Professional and Technical","SOC 2010","14","%","594500","84400","5.82",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","4 Administrative and Secretarial","SOC 2010","11","%","594500","67900","5.74",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","5 Skilled Trades Occupations","SOC 2010","6","%","594500","33900","6.05",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","6 Personal Service Occupations","SOC 2010","5","%","594500","26500","5.53",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","7 Sales and Customer Service Occupations","SOC 2010","10","%","594500","61600","5.77",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","8 Process, Plant and Machine Operatives","SOC 2010","7","%","594500","41700","5.27",""
"Proportion of ethnic group who are employed, split by occupation group","2006","Year","Indian","9 Elementary Occupations","SOC 2010","11","%","594500","63500","5.68",""
