"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham Community Healthcare NHS Foundation Trust","RYW","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","64","%","168","261"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham Community Healthcare NHS Foundation Trust","RYW","All","All","Midlands & East","Grouped region","Community Provider Trust","81","%","979","1210"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham Women's and Children's NHS Foundation Trust","RQ3","White","White & Other","Midlands & East","Grouped region","Acute Trust","87","%","953","1090"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Other","White & Other","Midlands & East","Grouped region","Acute Trust","69","%","155","224"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham Women's and Children's NHS Foundation Trust","RQ3","All","All","Midlands & East","Grouped region","Acute Trust","84","%","1108","1314"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Black Country Partnership NHS Foundation Trust","TAJ","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","81","%","246","304"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Black Country Partnership NHS Foundation Trust","TAJ","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","83","%","64","77"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Black Country Partnership NHS Foundation Trust","TAJ","All","All","Midlands & East","Grouped region","Mental Health Trust","81","%","310","381"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Burton Hospitals NHS Foundation Trust","RJF","White","White & Other","Midlands & East","Grouped region","Acute Trust","88","%","716","810"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Burton Hospitals NHS Foundation Trust","RJF","Other","White & Other","Midlands & East","Grouped region","Acute Trust","76","%","66","87"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Burton Hospitals NHS Foundation Trust","RJF","All","All","Midlands & East","Grouped region","Acute Trust","87","%","782","897"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","2278","2646"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands & East","Grouped region","Acute Trust","70","%","345","491"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridge University Hospitals NHS Foundation Trust","RGT","All","All","Midlands & East","Grouped region","Acute Trust","84","%","2623","3137"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","88","%","976","1108"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","75","%","94","126"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","All","All","Midlands & East","Grouped region","Mental Health Trust","87","%","1070","1234"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridgeshire Community Services NHS Trust","RYV","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","92","%","671","726"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridgeshire Community Services NHS Trust","RYV","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","88","%","52","59"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cambridgeshire Community Services NHS Trust","RYV","All","All","Midlands & East","Grouped region","Community Provider Trust","92","%","723","785"
