"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","3","525"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","68","525"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","2","599"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","~","599"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","6","599"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","10","599"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","1","599"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","14","599"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","3","599"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","8","599"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","56","599"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","White","ONS 5+2","K02000001","2","52,924"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","White","ONS 5+2","K02000001","2","52,924"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","White","ONS 5+2","K02000001","3","52,924"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","White","ONS 5+2","K02000001","4","52,924"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","White","ONS 5+2","K02000001","9","52,924"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","White","ONS 5+2","K02000001","9","52,924"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","White","ONS 5+2","K02000001","8","52,924"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","White","ONS 5+2","K02000001","1","52,924"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","White","ONS 5+2","K02000001","63","52,924"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","White British","ONS 5+2","K02000001","2","50,192"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","White British","ONS 5+2","K02000001","2","50,192"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","White British","ONS 5+2","K02000001","3","50,192"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","White British","ONS 5+2","K02000001","4","50,192"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","White British","ONS 5+2","K02000001","10","50,192"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","White British","ONS 5+2","K02000001","9","50,192"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","White British","ONS 5+2","K02000001","8","50,192"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","White British","ONS 5+2","K02000001","1","50,192"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","White British","ONS 5+2","K02000001","62","50,192"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","White non-British","ONS 5+2","K02000001","~","2,732"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","White non-British","ONS 5+2","K02000001","1","2,732"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","White non-British","ONS 5+2","K02000001","4","2,732"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","White non-British","ONS 5+2","K02000001","3","2,732"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","White non-British","ONS 5+2","K02000001","2","2,732"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","White non-British","ONS 5+2","K02000001","13","2,732"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","White non-British","ONS 5+2","K02000001","2","2,732"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","White non-British","ONS 5+2","K02000001","1","2,732"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","White non-British","ONS 5+2","K02000001","74","2,732"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","All","ONS 5+2","K02000008","1","57,498"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","All","ONS 5+2","K02000004","1","57,498"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","All","ONS 5+2","K02000010","3","57,498"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","All","ONS 5+2","K02000009","4","57,498"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","All","ONS 5+2","K02000007","8","57,498"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","All","ONS 5+2","K02000003","9","57,498"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","All","ONS 5+2","K02000006","7","57,498"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","All","ONS 5+2","K02000005","1","57,498"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","All","ONS 5+2","K02000002","64","57,498"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000098","~","363"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000094","1","363"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000100","7","363"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000099","5","363"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000097","2","363"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000093","10","363"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000096","2","363"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000095","2","363"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Any other Asian background","ONS 5+2","K02000092","70","363"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000053","1","2,566"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000049","1","2,566"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000055","7","2,566"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000054","5","2,566"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000052","2","2,566"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000048","10","2,566"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000051","3","2,566"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000050","3","2,566"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Asian/ Asian British","ONS 5+2","K02000047","70","2,566"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000080","2","275"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000076","~","275"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000082","5","275"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000081","13","275"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000079","1","275"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000075","6","275"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000078","3","275"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000077","9","275"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Bangladeshi","ONS 5+2","K02000074","60","275"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000107","1","1,313"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000103","~","1,313"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000109","6","1,313"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000108","7","1,313"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000106","2","1,313"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000102","8","1,313"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000105","3","1,313"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000104","4","1,313"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000101","68","1,313"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Chinese","ONS 5+2","K02000089","~","229"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Chinese","ONS 5+2","K02000085","1","229"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Chinese","ONS 5+2","K02000091","24","229"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Chinese","ONS 5+2","K02000090","3","229"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Chinese","ONS 5+2","K02000088","1","229"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Chinese","ONS 5+2","K02000084","11","229"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Chinese","ONS 5+2","K02000087","2","229"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Chinese","ONS 5+2","K02000086","1","229"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Chinese","ONS 5+2","K02000083","57","229"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Indian","ONS 5+2","K02000062","1","1,046"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Indian","ONS 5+2","K02000058","1","1,046"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Indian","ONS 5+2","K02000064","4","1,046"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Indian","ONS 5+2","K02000063","2","1,046"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Indian","ONS 5+2","K02000061","2","1,046"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Indian","ONS 5+2","K02000057","8","1,046"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Indian","ONS 5+2","K02000060","3","1,046"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Indian","ONS 5+2","K02000059","1","1,046"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Indian","ONS 5+2","K02000056","78","1,046"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000044","1","498"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000040","2","498"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000046","7","498"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000045","5","498"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000043","3","498"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000039","6","498"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000042","2","498"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000041","2","498"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Mixed/ Multiple ethnic groups","ONS 5+2","K02000038","73","498"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000116","1","588"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000112","1","588"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000118","5","588"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000117","6","588"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000115","2","588"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000111","9","588"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000114","2","588"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000113","3","588"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Other ethnic group","ONS 5+2","K02000110","71","588"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","Pakistani","ONS 5+2","K02000071","2","653"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","Pakistani","ONS 5+2","K02000067","~","653"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","Pakistani","ONS 5+2","K02000073","5","653"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","Pakistani","ONS 5+2","K02000072","8","653"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","Pakistani","ONS 5+2","K02000070","1","653"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","Pakistani","ONS 5+2","K02000066","14","653"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","Pakistani","ONS 5+2","K02000069","3","653"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","Pakistani","ONS 5+2","K02000068","7","653"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","Pakistani","ONS 5+2","K02000065","59","653"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","White","ONS 5+2","K02000017","2","52,533"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","White","ONS 5+2","K02000013","2","52,533"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","White","ONS 5+2","K02000019","3","52,533"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","White","ONS 5+2","K02000018","4","52,533"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","White","ONS 5+2","K02000016","9","52,533"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","White","ONS 5+2","K02000012","9","52,533"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","White","ONS 5+2","K02000015","8","52,533"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","White","ONS 5+2","K02000014","1","52,533"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","White","ONS 5+2","K02000011","63","52,533"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","White British","ONS 5+2","K02000026","2","49,674"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","White British","ONS 5+2","K02000022","2","49,674"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","White British","ONS 5+2","K02000028","3","49,674"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","White British","ONS 5+2","K02000027","4","49,674"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","White British","ONS 5+2","K02000025","10","49,674"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","White British","ONS 5+2","K02000021","8","49,674"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","White British","ONS 5+2","K02000024","8","49,674"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","White British","ONS 5+2","K02000023","1","49,674"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","White British","ONS 5+2","K02000020","62","49,674"
"Gross household income by ethnic group of the head of the household","Disability benefits","2017/18-2019/20","White non-British","ONS 5+2","K02000035","~","2,859"
"Gross household income by ethnic group of the head of the household","Investments","2017/18-2019/20","White non-British","ONS 5+2","K02000031","1","2,859"
"Gross household income by ethnic group of the head of the household","Other","2017/18-2019/20","White non-British","ONS 5+2","K02000037","4","2,859"
"Gross household income by ethnic group of the head of the household","Other benefits","2017/18-2019/20","White non-British","ONS 5+2","K02000036","3","2,859"
"Gross household income by ethnic group of the head of the household","Private pensions","2017/18-2019/20","White non-British","ONS 5+2","K02000034","2","2,859"
"Gross household income by ethnic group of the head of the household","Self-employed income","2017/18-2019/20","White non-British","ONS 5+2","K02000030","14","2,859"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2017/18-2019/20","White non-British","ONS 5+2","K02000033","2","2,859"
"Gross household income by ethnic group of the head of the household","Tax credits","2017/18-2019/20","White non-British","ONS 5+2","K02000032","1","2,859"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2017/18-2019/20","White non-British","ONS 5+2","K02000029","74","2,859"
