"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal National Orthopaedic Hospital NHS Trust","RAN","All","White & Other","London","Grouped region","Acute Trust","80","%","392","489"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute","61","%","241","393"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute","81","%","290","358"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North Middlesex University Hospital NHS Trust","RAP","All","White & Other","London","Grouped region","Acute","71","%","531","751"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute Trust","62","%","237","380"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute Trust","81","%","299","367"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North Middlesex University Hospital NHS Trust","RAP","All","White & Other","London","Grouped region","Acute Trust","72","%","536","747"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute","70","%","249","356"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute","82","%","478","580"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Hillingdon Hospitals NHS Foundation Trust","RAS","All","White & Other","London","Grouped region","Acute","78","%","727","936"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute Trust","70","%","269","382"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute Trust","86","%","516","603"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Hillingdon Hospitals NHS Foundation Trust","RAS","All","White & Other","London","Grouped region","Acute Trust","80","%","785","985"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental Health","79","%","604","769"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental Health","89","%","1294","1461"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North East London NHS Foundation Trust","RAT","All","White & Other","London","Grouped region","Mental Health","85","%","1898","2230"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental Health Trust","81","%","623","772"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental Health Trust","86","%","1255","1453"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North East London NHS Foundation Trust","RAT","All","White & Other","London","Grouped region","Mental Health Trust","84","%","1878","2225"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute","78","%","285","367"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute","88","%","687","779"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Kingston Hospital NHS Foundation Trust","RAX","All","White & Other","London","Grouped region","Acute","85","%","972","1146"
