"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","19","1599","1243","4504","4015","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","572","488","4504","4015","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","259","22361","18269","4504","4015","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","833","34400","29795","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","144","5924","5291","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","224","9232","7989","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","126","5212","4743","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","21","870","723","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","59","2452","2007","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","32","1302","1043","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","201","8305","7048","2152","2002","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","937","23049","19993","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","70","1717","1485","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","186","4578","3808","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","261","6418","5976","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","16","398","316","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","62","1520","1283","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","21","518","417","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","286","7027","5993","1283","1189","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","863","16235","13526","980","878","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","23","427","316","980","878","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","91","1713","1517","980","878","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","220","4133","3558","980","878","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","152","2857","2541","980","878","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","37","704","552","980","878","               "
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","37","690","559","980","878","               "
