"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental Health","4","%","59","1475",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute","10","%","19","194",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute","5","%","192","3834",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands","Grouped region","Mental Health","16","%","39","243",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands","Grouped region","Mental Health","6","%","171","2857",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute","13","%","76","583",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute","6","%","225","3749",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute","11","%","89","812",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute","6","%","390","6497",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute","14","%","57","408",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute","6","%","208","3470",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute","13","%","76","582",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute","8","%","128","1606",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute","17","%","387","2275",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute","8","%","297","3708",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute","16","%","124","775",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute","8","%","95","1191",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute","15","%","56","376",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute","8","%","37","467",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute","19","%","318","1674",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute","8","%","197","2461",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental Health","21","%","6","28",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental Health","6","%","66","1104",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands","Grouped region","Acute","10","%","7","67",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands","Grouped region","Acute","4","%","21","536",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of North Midlands NHS Trust","RJE","Other","White & Other","Midlands","Grouped region","Acute","16","%","77","482",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of North Midlands NHS Trust","RJE","White","White & Other","Midlands","Grouped region","Acute","7","%","246","3513",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute","21","%","27","127",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute","8","%","142","1772",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East Cheshire NHS Trust","RJN","Other","White & Other","North","Grouped region","Acute","18","%","15","85",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East Cheshire NHS Trust","RJN","White","White & Other","North","Grouped region","Acute","4","%","41","1014",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Countess of Chester Hospital NHS Foundation Trust","RJR","Other","White & Other","North","Grouped region","Acute","0","%","0","22",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Countess of Chester Hospital NHS Foundation Trust","RJR","White","White & Other","North","Grouped region","Acute","9","%","37","408",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","King's College Hospital NHS Foundation Trust","RJZ","Other","White & Other","London","Grouped region","Acute","21","%","374","1783",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","King's College Hospital NHS Foundation Trust","RJZ","White","White & Other","London","Grouped region","Acute","10","%","248","2479",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Other","White & Other","Midlands","Grouped region","Acute","13","%","27","204",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sherwood Forest Hospitals NHS Foundation Trust","RK5","White","White & Other","Midlands","Grouped region","Acute","6","%","147","2457",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals Plymouth NHS Trust","RK9","Other","White & Other","South","Grouped region","Acute","17","%","33","197",""
