"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","No Sustained Destination","9.7","%","2755"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Sustained Employment Only","64.4","%","2755"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Sustained Employment With Or Without Further Study","74.4","%","2755"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Sustained Employment Further Study Or Both","81.2","%","2755"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Other","LEO","Further Study With Or Without Sustained Employment","16.8","%","2755"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Activity Not Captured","8.6","%","6970"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","No Sustained Destination","8","%","6970"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Sustained Employment Only","69","%","6970"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Sustained Employment With Or Without Further Study","79.7","%","6970"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Sustained Employment Further Study Or Both","83.5","%","6970"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2014/2015","Three","Unknown","LEO","Further Study With Or Without Sustained Employment","14.4","%","6970"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Activity Not Captured","7.7","%","282500"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","No Sustained Destination","5.6","%","282500"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Sustained Employment Only","76.1","%","282500"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Sustained Employment With Or Without Further Study","84.1","%","282500"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Sustained Employment Further Study Or Both","86.7","%","282500"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","All","LEO","Further Study With Or Without Sustained Employment","10.6","%","282500"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Activity Not Captured","7.2","%","215405"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","No Sustained Destination","5","%","215405"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Sustained Employment Only","77.3","%","215405"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Sustained Employment With Or Without Further Study","85.4","%","215405"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Sustained Employment Further Study Or Both","87.7","%","215405"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Further Study With Or Without Sustained Employment","10.4","%","215405"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Activity Not Captured","6.6","%","2580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","No Sustained Destination","6.8","%","2580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Sustained Employment Only","76.7","%","2580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Sustained Employment With Or Without Further Study","84.7","%","2580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","86.6","%","2580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black Caribbean","LEO","Further Study With Or Without Sustained Employment","9.9","%","2580"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Activity Not Captured","12.7","%","1040"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","No Sustained Destination","6.4","%","1040"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Sustained Employment Only","69.5","%","1040"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Sustained Employment With Or Without Further Study","77.5","%","1040"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","80.8","%","1040"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Black African","LEO","Further Study With Or Without Sustained Employment","11.4","%","1040"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Activity Not Captured","10","%","2980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","No Sustained Destination","6.6","%","2980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Sustained Employment Only","72.1","%","2980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Sustained Employment With Or Without Further Study","80.4","%","2980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","83.4","%","2980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Mixed White And Asian","LEO","Further Study With Or Without Sustained Employment","11.3","%","2980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","10.9","%","2890"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","No Sustained Destination","7.7","%","2890"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","69","%","2890"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment With Or Without Further Study","77.8","%","2890"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","81.4","%","2890"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Further Study With Or Without Sustained Employment","12.4","%","2890"
