"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","491","799060","704902","30026","25641","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","54","87791","80224","19519","17530","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","208","338681","304607","540334","475196","84824","83309","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4505","389197","324390","84835","69528","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","12","1076","816","497","375","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","201","17389","13473","5318","4148","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1825","157656","132439","22890","19264","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1303","112575","99348","16700","14799","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","222","19137","14078","2704","1962","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","150","12974","10042","3484","2704","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","47","4027","3222","509","391","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","33","2871","2558","470","337","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","431","37251","28528","1696","1325","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","32","2761","2382","653","555","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","189","16336","13251","29787","23574","4504","4015","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4796","197969","171514","41096","35494","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","591","24404","21433","6968","6192","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1693","69886","60961","9327","8081","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","914","37738","34240","5313","4836","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","201","8288","6941","1123","929","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","304","12542","10057","2668","2192","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","627","25899","20953","1449","1165","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","40","1633","1439","385","330","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","180","7433","6289","12965","10999","2152","2002","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","5277","129866","113279","25988","22393","1283","1189","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","35","861","648","384","301","1283","1189","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","264","6498","5379","2004","1724","1283","1189","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1489","36634","30311","4630","3857","1283","1189","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","2040","50214","46637","6545","6089","1283","1189","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","142","3502","2822","538","425","1283","1189","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","288","7099","5796","1604","1351","1283","1189","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
